Proteins	taxon
Q14676-2;E9PGY5;Q14676;Q14676-3;F8VV34;E7EVA7;F8W1C2;F8VZP8;F8VU38	Homo sapiens
P04846	Escherichia coli (strain K12)
Q9GZS1-2;B4DW33	Homo sapiens
Q9NUQ6-2;Q9NUQ6;B4DT67;F8W6C2;B8ZZZ7;C9JW67;H7C2G5	Homo sapiens
F8VPD4;P27708	Homo sapiens
Q9Y4A5-2;Q9Y4A5;F2Z2U4;H0Y4W2	Homo sapiens
P31483-2;C9JTN7;F8W8I6;P31483;H0YGW6;Q96B58;E5RGV5	Homo sapiens
Q8NFH5;F8WCF5;F8WEL4	Homo sapiens
P0ABC7	Escherichia coli (strain K12)
P62258;P62258-2	Homo sapiens
P0ABA4	Escherichia coli (strain K12)
P0ABJ1	Escherichia coli (strain K12)
F5H3Y1;Q93074-3;Q93074;Q93074-2	Homo sapiens
Q9UQ35;Q9UQ35-2;I3L2L6;I3L4D8;I3L182;Q9UQ39;I3L1I8;Q9UQ35-3;I3L1C0	Homo sapiens
P31040;E9PBJ5;D6RFM5;E9PEF8	Homo sapiens
P30958	Escherichia coli (strain K12)
Q5JTZ9	Homo sapiens
Q8WUM0;A6NGS4;F5H5C2;Q5T8N1	Homo sapiens
Q96T58	Homo sapiens
P0AD59	Escherichia coli (strain K12)
P39451	Escherichia coli (strain K12)
P0ABE2	Escherichia coli (strain K12)
Q13123	Homo sapiens
P0AC02	Escherichia coli (strain K12)
P24182	Escherichia coli (strain K12)
Q6XQN6-3;Q6XQN6;C9JC60;Q6XQN6-2;G5E977;C9J8U2	Homo sapiens
P19623	Homo sapiens
Q92925-3;B9EGA3;Q92925;Q92925-2	Homo sapiens
O76003	Homo sapiens
P0A7L0	Escherichia coli (strain K12)
F5H754;Q9P2R3;Q9P2R3-2;Q9P2R3-4;I3L2C5	Homo sapiens
P63284	Escherichia coli (strain K12)
P13482	Escherichia coli (strain K12)
P0A6Z3	Escherichia coli (strain K12)
Q0VDF9	Homo sapiens
P56182;F8W984	Homo sapiens
Q96IR7	Homo sapiens
O75533	Homo sapiens
P11474;P11474-2;H0YGT3	Homo sapiens
P0AGB0	Escherichia coli (strain K12)
P0AC41	Escherichia coli (strain K12)
P02930	Escherichia coli (strain K12)
P0A867	Escherichia coli (strain K12)
P21151	Escherichia coli (strain K12)
P0A8D6	Escherichia coli (strain K12)
O14497;O14497-2;O14497-3;H0Y488;H0YCU6	Homo sapiens
Q15427	Homo sapiens
Q96L91-3;Q96L91-5;Q96L91-2;Q96L91;Q96L91-4	Homo sapiens
O75369-8;O75369-2;O75369-9;O75369;O75369-6;O75369-3;E7EN95;O75369-7;O75369-5;O75369-4	Homo sapiens
Q96GM8;B4DEM6	Homo sapiens
P36680	Escherichia coli (strain K12)
O75607	Homo sapiens
P26641	Homo sapiens
P52272-2;P52272	Homo sapiens
Q96EN8	Homo sapiens
P05386	Homo sapiens
Q9Y230;B3KQ59	Homo sapiens
P0AFA7	Escherichia coli (strain K12)
P33316-2;H0YNW5;H0YKC5;P33316;H0YMM5;H0YNJ9;H0YKI0;H0Y477	Homo sapiens
P0A6P9	Escherichia coli (strain K12)
P75682	Escherichia coli (strain K12)
P0A9T0	Escherichia coli (strain K12)
P13001	Escherichia coli (strain K12)
Q8TEX9;Q8TEX9-2;H0Y3R2;H0YN14;H0YMR4	Homo sapiens
O94888;F8WB69;H7BYF4	Homo sapiens
Q9UQ80;F8VTY8;H0Y3X3;F8VRZ3;F8VR77;F8W0A3;H0YIN7	Homo sapiens
P78371;P78371-2	Homo sapiens
P00960	Escherichia coli (strain K12)
P00363	Escherichia coli (strain K12)
P37749	Escherichia coli (strain K12)
B4DJL6;B4DVD5;Q96SY0-3;H3BRY6;B4DVT3;Q96SY0	Homo sapiens
Q5SRE5;Q5SRE5-2;F8W973	Homo sapiens
P24941;G3V5T9;P24941-2;E7ESI2	Homo sapiens
Q15149-7;Q15149-8;Q15149-9;Q15149-5;Q15149-4;Q15149-6;Q15149-2;Q15149;Q15149-3;H0YDN1	Homo sapiens
P54098	Homo sapiens
P0ADE8	Escherichia coli (strain K12)
P25665	Escherichia coli (strain K12)
Q9NP79;H7BZH5	Homo sapiens
Q2TAY7	Homo sapiens
P0A6L0	Escherichia coli (strain K12)
O43747;O43747-2;B3KXW5;E7EUH1;H3BNR4;H3BR36;H3BUN9	Homo sapiens
P54920	Homo sapiens
Q96HA7;Q96HA7-2	Homo sapiens
B3KW71;P09417	Homo sapiens
P0ADS6	Escherichia coli (strain K12)
Q8NFW8;Q8NFW8-2	Homo sapiens
P47897;B4DNN3;B4DWJ2;C9JSG9;C9J165;F2Z2V6	Homo sapiens
B4DR70;P35637-2;P35637;H3BPE7;F5GWQ7;Q92804-2;Q92804	Homo sapiens
P02413	Escherichia coli (strain K12)
P34897-3;P34897;P34897-2;G3V5L0;G3V4W5;G3V540;G3V2W0;G3V241;G3V3Y8;G3V4T0;G3V4X0;G3V2E4	Homo sapiens
Q12788	Homo sapiens
O95319-5;O95319-2;Q5VZZ6;O95319;O95319-4;O95319-3;E9PC62	Homo sapiens
Q92879-4;G5EA30;Q92879-2;Q92879-3;F8W940;Q92879;E9PSH0;E9PKU1;E9PQK4	Homo sapiens
Q92922	Homo sapiens
D6REN6;P12081;B4DY73;B4DDD8;B4E1C5;E7ETE2;D6RF05	Homo sapiens
P78549;H3BPD5	Homo sapiens
P0A7V8	Escherichia coli (strain K12)
P0A8X0	Escherichia coli (strain K12)
Q92797;Q92797-2;Q92797-3	Homo sapiens
P04825	Escherichia coli (strain K12)
P0ACF0	Escherichia coli (strain K12)
O75643;F5H447;O75643-2;C9JAQ9	Homo sapiens
P08200;Q1PI72	Escherichia coli (strain K12)
Q12872;F5H6B8;F5H5X1;H0YFR9	Homo sapiens
P11388;P11388-2;P11388-3;P11388-4;C9J5P2	Homo sapiens
P07741;G5E9J2;H3BQF1;H3BQB1;H3BQZ9;H3BSW3	Homo sapiens
P11172;E9PFD2;F2Z3P2;F2Z303;F8WDG4	Homo sapiens
P35269;F5GY49	Homo sapiens
Q8NEJ9-2;Q8NEJ9	Homo sapiens
P41227;F8W808;A8MWP7;C9JW55	Homo sapiens
Q8NDH3-3;Q8NDH3-2;Q8NDH3;G5EA34;E9PN47;H0YEP3	Homo sapiens
P15038	Escherichia coli (strain K12)
P0A910	Escherichia coli (strain K12)
Q13813;Q13813-3;F8W7K3;Q13813-2;A6NG51;B4DGT1	Homo sapiens
Q9P2E9-2;Q9P2E9;Q9P2E9-3;A2A2S5	Homo sapiens
Q92616	Homo sapiens
P09831	Escherichia coli (strain K12)
Q6YHU6-3;B6ZDQ0;Q6YHU6;H0Y3V5;C9JER1	Homo sapiens
B4DUD5;P33240-2;P33240;E7EWR4;Q9H0L4	Homo sapiens
P37757	Escherichia coli (strain K12)
P07814;F5H7I7;E7EMN0	Homo sapiens
P00490	Escherichia coli (strain K12)
P0AG84	Escherichia coli (strain K12)
P28304	Escherichia coli (strain K12)
O14744;O14744-2;G3V5W5;B4DX49;B4DV00;H0YJX6	Homo sapiens
P35232;C9JW96	Homo sapiens
P35251-2;P35251	Homo sapiens
Q14980-2;Q14980	Homo sapiens
P00582	Escherichia coli (strain K12)
O95602;B9ZVN9	Homo sapiens
P0A877	Escherichia coli (strain K12)
Q7Z6Z7-2;Q7Z6Z7-3;Q7Z6Z7;H0Y5W0;Q5H962	Homo sapiens
P42858	Homo sapiens
Q9H444;Q96CF2	Homo sapiens
P49327;F5H0D4	Homo sapiens
Q9H773	Homo sapiens
P62851	Homo sapiens
Q9H9Y6;F5GZX4;Q9H9Y6-2;F8W898;C9JS83;C9JJG2;F8WDS4;F8WAK7;F8WBB9;F8WCS3	Homo sapiens
O60287	Homo sapiens
P33599	Escherichia coli (strain K12)
P0AER3	Escherichia coli (strain K12)
Q96DI7;B4DQJ1	Homo sapiens
Q9UNQ2;D6RCL3	Homo sapiens
P78527;P78527-2;E7EUY0	Homo sapiens
O95831-3;O95831;Q1L6K4;O95831-4	Homo sapiens
Q9UIA9;E7ESC6;E9PEN8	Homo sapiens
Q14978-2;Q14978;Q14978-3	Homo sapiens
P11446	Escherichia coli (strain K12)
P08312	Escherichia coli (strain K12)
P61201;P61201-2;H0YKU5	Homo sapiens
Q9P000-2;B4DQW0;Q9P000;E9PJ95	Homo sapiens
P02413;P75981	Escherichia coli (strain K12)
B4E2W0;P55084;B5MD38;C9JEY0;C9JE81	Homo sapiens
P09546	Escherichia coli (strain K12)
