Proteins	taxon
Q96I25;Q5W011;Q5W010;Q5W012	Homo sapiens
P14618;P14618-2;P14618-3;E9PF79;Q504U3;E7EUJ4	Homo sapiens
Q9Y490;Q5TCU6;Q9Y4G6	Homo sapiens
B4DV79;P55884;F8W8C8;P55884-2;C9JQN7;C9JZG1	Homo sapiens
Q9H089;H7C2X7	Homo sapiens
Q9Y5Q8-2;H7BY84;Q9Y5Q8;Q9Y5Q8-3;Q5T7U1;Q5T7U4	Homo sapiens
Q8IUH3-3;Q8IUH3-2;Q8IUH3	Homo sapiens
G5E9W7;G5E9V5;P82650	Homo sapiens
P76329	Escherichia coli (strain K12)
P50454;B4DN87;E9PR70;E9PPV6;E9PK86;E9PMI5;E9PNX1;E9PJH8;E9PIG2;E9PRS3;E9PLA6	Homo sapiens
E7EM71;Q00341;H0Y394;H7C2D1	Homo sapiens
Q9UHD9;F5H2G2	Homo sapiens
Q9UMX0;Q9UMX0-2	Homo sapiens
P06576;H0YH81;F8W0P7	Homo sapiens
A2RRF3;Q9UBC2;Q9UBC2-2	Homo sapiens
P0AEY5	Escherichia coli (strain K12)
P61758	Homo sapiens
B4DDY8;P49590;C9JV49;D6RJE6;D6REN6;P12081;B3KWE1;B4DY73	Homo sapiens
F8W1R7;P60660-2;P60660;G3V1V0;F8VZV5;G8JLA2;B7Z6Z4;G3V1Y7;F8VPF3;F8VZU9;F8W180;H0YI43	Homo sapiens
P43897;C9JT21;F8W6R3;P43897-2	Homo sapiens
P45523	Escherichia coli (strain K12)
P00338;P00338-3;P00338-4;F5H308;E9PH51;P00338-5;P00338-2;F5GXY2;F5GYU2;F5GXH2;F5H5J4;F5H6W8;F5GZQ4;F5H8H6;F5GXC7;F5GWW2;F5GXU1	Homo sapiens
P54709;C9JA36;B7Z1N7;C9JXZ1	Homo sapiens
Q14980-2;Q14980;F5H4J1	Homo sapiens
P60842;B4DKP9	Homo sapiens
Q14240;Q14240-2;E7EQG2;Q9NZE6	Homo sapiens
Q13416;B8ZZ80	Homo sapiens
Q9NUQ9;Q9NW21	Homo sapiens
Q9NXR7;Q9NXR7-4;Q9NXR7-3;Q9NXR7-1;H7BYD8	Homo sapiens
Q7KZI7-16;Q7KZI7-4;Q7KZI7-9;Q7KZI7-8;E9PC69;Q7KZI7;Q7KZI7-13;Q7KZI7-7;E7ETY4;Q7KZI7-2;Q7KZI7-15;Q7KZI7-5;Q7KZI7-14;Q7KZI7-3;Q7KZI7-6;Q7KZI7-11;Q7KZI7-10;Q7KZI7-12	Homo sapiens
O00629	Homo sapiens
P78549;H3BRL9	Homo sapiens
P05458	Escherichia coli (strain K12)
Q9H0A0;E9PMU0;E9PJN6	Homo sapiens
H0Y6I0;Q13439-3;Q13439-4;Q13439;F8W8Q7;E7EVX2	Homo sapiens
E5RJ68;O00203;F5GXG9;F5H093	Homo sapiens
E7EVG1;Q8TAD8	Homo sapiens
P06744;P06744-2	Homo sapiens
Q86Y79;C9J7Z1	Homo sapiens
P0AEJ2	Escherichia coli (strain K12)
Q9H4L4	Homo sapiens
Q96I59;G3V178	Homo sapiens
Q8NFH3;B4E2F0	Homo sapiens
P21127-8;P21127-3;P21127-2;P21127;P21127-6;P21127-9;Q9UQ88-4;Q9UQ88-3;Q5QPR3;Q9UQ88-2;Q9UQ88;Q5QPR4;Q9UQ88-9;E7ESP2	Homo sapiens
Q9NYF8-2;Q9NYF8;Q9NYF8-3;E9PK91;Q9NYF8-4;E9PQN2;E9PKI6;E9PK09;E9PJA7	Homo sapiens
P76216	Escherichia coli (strain K12)
P0ADA7	Escherichia coli (strain K12)
F5GXG0;Q96T88;B5ME40	Homo sapiens
P15531;P15531-2;E7ERL0;E5RHP0;P22392-2;Q32Q12	Homo sapiens
P22392-2;Q32Q12;P22392;O60361	Homo sapiens
B4DV79;P55884;F8W8C8;P55884-2;C9JZG1	Homo sapiens
Q9NUW8;Q86TV8	Homo sapiens
P46130	Escherichia coli (strain K12)
P0AEZ9	Escherichia coli (strain K12)
O60832;O60832-2;H7C2Q2	Homo sapiens
P50402;Q5HY57	Homo sapiens
Q13185	Homo sapiens
Q29RF7;Q29RF7-3;H0Y9X6	Homo sapiens
Q9NZ63;E7EVT7	Homo sapiens
P00550	Escherichia coli (strain K12)
Q9BRQ8-2;C9JI05;Q9BRQ8	Homo sapiens
P31153;E9PBA7	Homo sapiens
Q5T7A4;Q8NI60-3;Q8NI60	Homo sapiens
Q32N00;Q32MZ9;Q15054;F5H6U9;E9PRK3;E9PM91;E9PNC0	Homo sapiens
E9PAU2;Q8IY67-2	Homo sapiens
P0A9M2	Escherichia coli (strain K12)
P35658-2;P35658-4;P35658;P35658-3;P35658-5;Q5JUP9;F5H131	Homo sapiens
O14579-2;F5H1E1;O14579;A6NE29	Homo sapiens
P62277;E9PS50	Homo sapiens
Q92547	Homo sapiens
P00926	Escherichia coli (strain K12)
E9PKV2;Q9NRX2	Homo sapiens
Q8NI27;Q8NI27-2;B7ZBA0;H0Y594;H0Y7U4	Homo sapiens
P12956;B1AHC7;B1AHC8	Homo sapiens
P43246;B4E2Z2;E9PHA6;B4DL39;B4DSB9	Homo sapiens
P07737	Homo sapiens
O60271-4;O60271;H7BYB5;O60271-9;O60271-2;H7BY21;F5H7U6;H7BY20	Homo sapiens
O14647;O14647-2;G3V418	Homo sapiens
Q9Y5L0-3;Q9Y5L0;Q9Y5L0-1;C9J7E5;E9PFH4;C9IZM0	Homo sapiens
P49792;E9PGT0;A6NKT7;Q7Z3J3;P0DJD0;P0DJD1;F8VYC4;E7ES93;B4DTM4;H7BZ48;Q99666;O14715	Homo sapiens
P36767	Escherichia coli (strain K12)
P23836	Escherichia coli (strain K12)
Q96NC0	Homo sapiens
Q96HW7;Q96HW7-3;Q96LV5;Q2T9F4	Homo sapiens
I3L3A8;E7EV54;Q8IZL8;C9JFV4;Q8IZL8-2;F8WDZ1	Homo sapiens
Q9HCN4;B5MBZ5;Q9HCN4-2;Q9HCN4-3	Homo sapiens
Q99584	Homo sapiens
Q9BVC5;C9J4K0;B4E2G9	Homo sapiens
O15144	Homo sapiens
O76071	Homo sapiens
Q9P2I0;B3KMI0;H0YJF4	Homo sapiens
P09382	Homo sapiens
Q15459;F5H048;E9PAW1	Homo sapiens
P13489	Homo sapiens
P18887;H7BZR0;F5H8D7;B4DEB2	Homo sapiens
Q8N1F7;H3BVG0;Q8N1F7-2	Homo sapiens
Q96EZ8;Q96EZ8-2;F8W0I9;F8VVA6;F8VP44	Homo sapiens
P32684	Escherichia coli (strain K12)
O00505;H0Y4S9	Homo sapiens
Q9UQ13-2;Q9UQ13	Homo sapiens
Q2TAY7;B4E3L0	Homo sapiens
P41743	Homo sapiens
O00560-2;G5EA09;B4DHN5;E9PBU7;O00560-3;O00560	Homo sapiens
P31946-2;P31946;P27348;B4DMT8;P31947;P31947-2;P61981;B4DE78;B4DHC4;Q04917;P62258;P62258-2;P63104;E7EX29;B0AZS6;E7EX24;B7Z2E6;H0YB80	Homo sapiens
Q46948	Escherichia coli (strain K12)
B5MCW3;Q9H0E9-2;F8W820	Homo sapiens
O95400	Homo sapiens
P33931	Escherichia coli (strain K12)
P28062-2;P28062;Q5JNW7;B0UZC1	Homo sapiens
P68032;P63267;P68133;P62736;Q5T8M8;A6NL76;F5H1C1;E7EQV5;Q5T8M7;B4DUI8;F8WB63;B8ZZJ2;C9JFL5;F6UVQ4;F6QUT6;P60709;CON__P60712;B4E335;E7EVS6;G5E9R0;C9JZR7;C9JTX5;P63261;F5H0N0;I3L3I4;I3L3I0;I3L1U9;I3L4N8;I3L3R2;C9JUM1	Homo sapiens
P51532-5;P51532-2;P51532-3;P51532-4;P51532;Q9HBD4;F5H0X5	Homo sapiens
B4DQI8;P61224;B4DW74;E7ESV4;F5H7Y6;A6NIZ1;F5H823;B7ZB78;F5GZG1;F5H6R7;F5H004;F5GX62;F5H147	Homo sapiens
H3BMZ9;H3BPP3;H3BUZ9;P34949;Q8NHZ6;H3BP57;H3BT48;H3BPB8;F5GX71;H3BPM5;H3BQX0;H3BNY8;P34949-2;H3BPU7;H3BN01;H3BT46;B4DYB8	Homo sapiens
Q69YN4-3;Q69YN4	Homo sapiens
P60866;P60866-2;E5RJX2;E5RIP1	Homo sapiens
Q9H6Z4-3;Q9H6Z4-2;Q9H6Z4;F5H4C2	Homo sapiens
P69783	Escherichia coli (strain K12)
P0AE30	Escherichia coli (strain K12)
P02925	Escherichia coli (strain K12)
Q9ULT8;G3V4V5	Homo sapiens
P41252;Q5TCC4;F5H434;Q5TCC5;Q5TCD2	Homo sapiens
E7ETZ4;Q9Y6E2;Q75MG1;E9PFD4;C9JF98;F8WDX8;E7EMS9	Homo sapiens
C9JN15;Q13427-2;Q32LZ0;E9PG73;Q13427;C9JM79	Homo sapiens
Q16836;Q16836-2;E9PF18	Homo sapiens
Q969X6;H3BSH7;Q969X6-2;Q969X6-3	Homo sapiens
P50454;B4DN87;E9PKH2;H0YEP8	Homo sapiens
Q99460;Q99460-2	Homo sapiens
P49792;E9PGT0	Homo sapiens
F5GZ16;Q13200;C9JPC0;H7C2Q3	Homo sapiens
P31483-2;C9JTN7;Q01085;Q01085-2;E7ETJ9;E7ETC0;A6NKZ9	Homo sapiens
Q6RFH5;E9PS41;Q6RFH5-2;H0YGM6	Homo sapiens
P51665;B4DXI8	Homo sapiens
O60664-3;O60664	Homo sapiens
E7ERS3;Q86VM9-2;H7BXJ7;Q86VM9;F5H7R0	Homo sapiens
P13667;C9JMN9	Homo sapiens
O60313;O60313-2;E5KLJ6;E5KLJ5;E5KLK1;E5KLJ9;H7C141	Homo sapiens
P40261	Homo sapiens
P23193;P23193-2	Homo sapiens
F5H5U2;Q8NHQ9;F5H3E5;E7EX41	Homo sapiens
O75643;F5H4C1;B4E0P5	Homo sapiens
Q9UNF1;Q5H909;Q9UNF1-2;H7BXW3;Q5H907	Homo sapiens
E9PKG1;Q99873-3;Q99873-2;G5E9B6;Q99873;H7C2I1;E9PIX6;B4DJ87;E9PQ98	Homo sapiens
P27144;D3DQ64	Homo sapiens
Q9Y376	Homo sapiens
P50224;Q1ET66;P50224-2;H3BPL6	Homo sapiens
P55735;A8MV37;A8MXL6	Homo sapiens
Q04837;E7EUY5;C9K0U8	Homo sapiens
P52948-5;P52948;P52948-6;P52948-2;H7C3P6;H0YDF4	Homo sapiens
P16152;B4DFK7;E9PQ63;A8MTM1	Homo sapiens
P16152	Homo sapiens
P42285;H0Y8U3	Homo sapiens
P13995;Q7Z650;B8ZZU9	Homo sapiens
E9PH69;Q01831	Homo sapiens
P0A780	Escherichia coli (strain K12)
Q9BW27;B4DMQ3;F5H0B4	Homo sapiens
Q13405;H0YDP7	Homo sapiens
P07099	Homo sapiens
P25745	Escherichia coli (strain K12)
Q96RL1;F8VQY2;Q96RL1-2;D6R9M3;D6RDZ5;Q96RL1-5;D6RC40;D6RCQ3;D6RCF3	Homo sapiens
Q9Y6M5	Homo sapiens
P0AF98	Escherichia coli (strain K12)
F6TTN0;B4DPY8;O94842	Homo sapiens
E7ES35;Q5R3I4;H7C089	Homo sapiens
P09029	Escherichia coli (strain K12)
Q16719	Homo sapiens
P61353	Homo sapiens
Q9UBB9;E7EMD1	Homo sapiens
P0A9Y6	Escherichia coli (strain K12)
P0A972	Escherichia coli (strain K12)
Q13523;F5H2U2;H0YDJ3;H0YEC8	Homo sapiens
Q96KG9-5;Q96KG9-3;E9PS17;E9PK59;Q96KG9-4;Q96KG9-6;Q96KG9-2;Q96KG9;E9PPN3;H0YDH0	Homo sapiens
Q9UKL3	Homo sapiens
Q9NPD3;E9PI41	Homo sapiens
P08200	Escherichia coli (strain K12)
E7ENV7;Q86YQ8;Q86VY2	Homo sapiens
P21889;Q6PI48;Q9H9M6	Homo sapiens
P38919;I3L3F6;I3L2Z3;I3L3H2	Homo sapiens
P15924	Homo sapiens
P33993;F5H776;P33993-2	Homo sapiens
Q06323;H0YNE3;A6NJG9;H0YLU2	Homo sapiens
E7EQ69;Q9GZZ1;C9J5D1;C9JZU6	Homo sapiens
P10441	Escherichia coli (strain K12)
F8VYE8;P36873;P36873-2;F8VR82;F8W0W8;B4DNE3;F8W0V8	Homo sapiens
P13667;P30101;B3KQT9;G5EA52;F5H119	Homo sapiens
C9JPL0;Q9UK58;Q9UK58-4;Q9UK58-5	Homo sapiens
P25685;B4DX52	Homo sapiens
P63244;H0Y8W2;H0YAF8;D6RHH4;H0YAM7;D6R9Z1;D6R9L0;D6RFX4;D6RAU2;E9PD14;D6RFZ9	Homo sapiens
O94901-5;H0Y742;E9PF23;O94901;E9PHI4;A4D2Q0;H7C3X3;O94901-2;F8WD13;O94901-3	Homo sapiens
Q96BP3;F5H7P7;D6R9Q1;D6RB19;D6RHV0	Homo sapiens
O43760	Homo sapiens
P49674;B0QY36;H0Y645;P48730-2;P48730;B4DIJ9;B0QY35;B0QY34;H7BYT1	Homo sapiens
P19784	Homo sapiens
P36507;G5E9C7;Q02750;Q02750-2	Homo sapiens
E7EUI8;E7EM57;P11413;P11413-2;P11413-3	Homo sapiens
A8MUB1;P68366	Homo sapiens
Q9BQE3;F5H5D3;E9PGK3;P68363;CON__ENSEMBL:ENSBTAP00000016242	Homo sapiens
P62081	Homo sapiens
B4DP11;Q15185;B4DP21;B4DDC6;B4DHP2	Homo sapiens
P04843;F5H6I5;B7Z4L4	Homo sapiens
P36952;P36952-2;C9JLM5	Homo sapiens
P10515;H0YDD4;F5H7M3	Homo sapiens
O00534	Homo sapiens
P47712	Homo sapiens
Q16658	Homo sapiens
Q13838;Q13838-2;F8VQ10;Q5STU3;H0Y7G4;B4DP52;F6WLT2;F8VZL8;H0Y7X6;F6UN21;F6TRA5;H0Y800;F6S4E6;F6UJC5;E9PP12;H0Y557;H0Y4V8;H0Y6G9;B4DIJ6;H0Y6N8;H0YCC6;O00148;Q8N5M0;B1Q2N1	Homo sapiens
P16435;E7EMD0;F5H468	Homo sapiens
P03960	Escherichia coli (strain K12)
Q99714;Q99714-2;Q5H928	Homo sapiens
P31939;E9PBU3;F8WEF0	Homo sapiens
P0A6H1	Escherichia coli (strain K12)
Q7Z6E9-2;Q7Z6E9;Q7Z6E9-4	Homo sapiens
P00722;B8LFD6	Escherichia coli (strain K12)
P0AF03	Escherichia coli (strain K12)
P69503	Escherichia coli (strain K12)
P40120	Escherichia coli (strain K12)
E7ERS3;Q86VM9-2;H7BXJ7	Homo sapiens
Q4LE39-2;Q4LE39;H7C5R6;Q4LE39-3;G8JLI1;H0Y7Y8;Q4LE39-4	Homo sapiens
A0AV96;B7Z8Z7;A0AV96-2;D6R9D6;D6RBS9;D6REZ6;D6RA49;D6RFL5;D6R9M7;D6RBP6	Homo sapiens
E9PHT6;Q9NVE7;H0YA26	Homo sapiens
G5E927;I3L2Z5;F5H7A6;C6G496;P56270;Q9HBE1-4;Q9HBE1-2;Q9HBE1-3;Q9HBE1;Q14119	Homo sapiens
Q9HCE3	Homo sapiens
H3BT71;P38159;H0Y6E7;P38159-2;Q96E39;B3KRG5;H3BUY5	Homo sapiens
Q7KZ85;Q7KZ85-3	Homo sapiens
G5E972;P42167-2;P42166;P42167	Homo sapiens
D6RBV2;Q12907;B4DWN1;D6RIU4;D6RDX1;D6RBH1	Homo sapiens
Q14980-2;Q14980;Q9BTE9;F5H4J1;F5H6Y5;F5H763;F5H0Z7;F5H2F3;F5H3L6;F5GZW1	Homo sapiens
Q15008;C9IZE4;E9PHI9;Q6UV22	Homo sapiens
O43852;O43852-3;H0Y875;F5H1Q9	Homo sapiens
H0YKN5;Q9GZN2;H0YNI0	Homo sapiens
O14744;O14744-2;A8MTP3;G3V580;G3V2L6;C9JSX3;G3V5L5;G3V2X6	Homo sapiens
P50395;E7EU23;P50395-2;Q5SX87;Q5SX86;Q5SX90;P31150;B4DHX4;G5E9U5	Homo sapiens
Q1KMD3	Homo sapiens
H3BQQ9;P63279;B0QYN7	Homo sapiens
P04792;F8WE04	Homo sapiens
Q86SX6	Homo sapiens
O43390;O43390-2;Q2L7G6;E7ETM7	Homo sapiens
A0AV96;B7Z8Z7;A0AV96-2;D6R9D6	Homo sapiens
Q96PK6;Q96PK6-2	Homo sapiens
E9PB51;Q9BWF3;Q9BWF3-3;E9PLB0;E9PM61;D6R9K7;E7EQS3;Q9BWF3-2;Q9BQ04	Homo sapiens
Q16576;E9PC52;Q16576-2;C9J7L0	Homo sapiens
P61978;P61978-2;B4DFF1;Q5T6W1;P61978-3;Q5T6W5;Q5T6W2	Homo sapiens
F8VWB4;O14974-4;F8W8Q6;O14974;F5H1B6;O14974-3;F8W7P1;O14974-2;F8W9E8;F8VZN8;H0YHL8;F8VW28	Homo sapiens
Q12792;Q12792-3;F8VS81;F8W1Q9	Homo sapiens
P0A908	Escherichia coli (strain K12)
P12277;E7EUJ8;H0YJG0;H0YJK0	Homo sapiens
O43707;D6PXK4;E7EV83	Homo sapiens
P12814-2;P12814;P12814-3;B7TY16;H9KV75;H7C5W8	Homo sapiens
P17480-2;E9PKP7;P17480	Homo sapiens
P22626;P22626-2	Homo sapiens
P09651-2;F8VXY0;F8VSB5;F8VRQ1;F8W6I7;F8W1S7;P09651;P09651-3;F8VZ49;Q32P51;F8VTQ5;F8VYN5	Homo sapiens
E9PLK3;P55786;B7Z463;F5H0W3;E5RJ24;E7EWZ2;A6NEC2;F5GZY4;H0YAQ6;A6NEC2-2	Homo sapiens
P26599;P26599-2;P26599-3;A6NLN1	Homo sapiens
Q13162;H7C3T4	Homo sapiens
Q96EB1;B4E3W0;Q96EB1-2;G5E9D4	Homo sapiens
Q9H269;Q5JUA8	Homo sapiens
O94864-2;O94864	Homo sapiens
P0AA39	Escherichia coli (strain K12)
P46783;F6U211	Homo sapiens
Q5QPP3;Q5QPP4;E9PH43;Q14376;Q5QPP9	Homo sapiens
P47756-2;B1AK87;P47756;B1AK88;E7EQ40;B1AK85;F6USW4;F6Q0E3	Homo sapiens
P62191	Homo sapiens
Q8IXH7-4;Q8IXH7;Q8IXH7-3	Homo sapiens
P15078	Escherichia coli (strain K12)
Q16630-2;Q16630-3;F8WJN3;Q16630;F8W084	Homo sapiens
P31327;H0YGP4;Q5R211;E7EWJ3	Homo sapiens
Q8IYF3-2;Q8IYF3-3;Q8IYF3	Homo sapiens
P15121	Homo sapiens
Q9UBB9;F6SQZ1;F6XM96;F6UKU9	Homo sapiens
Q9UBB9;F6SQZ1;F6XM96	Homo sapiens
P38432	Homo sapiens
O95402	Homo sapiens
F5H4G7;O60684;F5GYL8;E9PC31;Q5TFJ7	Homo sapiens
O00629;O00505	Homo sapiens
P25685	Homo sapiens
Q6P6C2-2;Q6P6C2	Homo sapiens
O75976	Homo sapiens
O95881	Homo sapiens
Q09028-3;Q09028;E9PNS6;E9PNS2;E9PIC4	Homo sapiens
P27695;G3V3M6;G3V5Q1;G3V3C7;G3V5M0;G3V359;G3V5D9;G3V3Y6	Homo sapiens
O43290;E9PQI8	Homo sapiens
P75823	Escherichia coli (strain K12)
B4E2W0;P55084;F5GZQ3;B5MD38;C9JEY0;C9JE81	Homo sapiens
Q9BVQ7;Q9BVQ7-2;H0YL79	Homo sapiens
Q9BXK1	Homo sapiens
Q9Y265;Q9Y265-2	Homo sapiens
Q7Z460;Q7Z460-2;E7EUA5;B7ZLX3;F5GWS0;Q7Z460-3;F8WA11;F5GWM7;F5H2E2;H0Y5T1	Homo sapiens
F5H604;E7ERI8;E7EW49;E3W994;F5H3X0;O75122-2;B3KR06;E7ENG2;D6RBU8;C9J668	Homo sapiens
P45395	Escherichia coli (strain K12)
F5H4G7;O60684;F5GYL8;E9PC31;Q5TFJ7;P52294	Homo sapiens
Q9BW27;B4DMQ3;B4DPW1;F5H0B4	Homo sapiens
P07237;E7EPA8;I3L312;I3L3P5	Homo sapiens
P57740;B4DZ67	Homo sapiens
P0A8P3	Escherichia coli (strain K12)
Q9NUJ1;B7Z6A8	Homo sapiens
P0A784	Escherichia coli (strain K12)
Q969Z0;Q969Z0-2	Homo sapiens
E9PBV3	Homo sapiens
F8VYX6;F8VW92;P07437;Q5JP53;Q5ST81;F5H0I4;C9JAA5;Q5SQY0;I3L2F9;A6NNZ2;P68371;P04350;Q3ZCM7	Homo sapiens
P14625;E9PEX3	Homo sapiens
Q6ZU65;Q6ZU65-2	Homo sapiens
O75534-2;O75534;E9PGZ0;G5E9Q2;E9PLT0;E9PNG3	Homo sapiens
P26640;B0V043;H0Y4A6;B4DZ61	Homo sapiens
P0AE63	Escherichia coli (strain K12)
Q12792;Q12792-3;Q12792-4;F8VS81	Homo sapiens
P62158;H0Y7A7;F8WBR5;G3V479;E7ETZ0;E7EMB3;P27482	Homo sapiens
P0ABK2	Escherichia coli (strain K12)
P0AEQ6	Escherichia coli (strain K12)
P0ACU5	Escherichia coli (strain K12)
P06132;Q5T450;H0Y5R6	Homo sapiens
P75797;D9IX93	Escherichia coli (strain K12)
Q9Y2X3	Homo sapiens
P11447	Escherichia coli (strain K12)
P35251-2;P35251;H0Y9P8	Homo sapiens
P39748;I3L3E9	Homo sapiens
Q57261	Escherichia coli (strain K12)
P25906	Escherichia coli (strain K12)
F8WAK8;Q8N3U4;Q8N3U4-2	Homo sapiens
F2Z2V0;Q99829;A6PVH9	Homo sapiens
P0AFD1	Escherichia coli (strain K12)
Q9H444	Homo sapiens
P63092-3;P63092-2;P63092;A6NI00;Q5JWF2-2;Q5JWF2;Q5JWE9;H0Y7F4	Homo sapiens
Q13724;F5H6D0;C9J8D4	Homo sapiens
P31939;E9PBU3;F5GWY2	Homo sapiens
P13009	Escherichia coli (strain K12)
E5RGS4;O60925	Homo sapiens
Q9BU76;Q9BU76-4;Q9BU76-3;Q9BU76-2	Homo sapiens
Q13895	Homo sapiens
Q9Y314	Homo sapiens
P0ACU7	Escherichia coli (strain K12)
P51149;C9J8S3;C9J4V0;C9J4S4	Homo sapiens
Q9UHI6;E9PJ60	Homo sapiens
P62258;P62258-2;I3L0W5	Homo sapiens
Q03164-2;Q03164;E9PQG7	Homo sapiens
P0ADP0	Escherichia coli (strain K12)
Q15021;F5GZJ1;E7EN77;F6SSY4	Homo sapiens
P19784;H3BSA1;H3BV19	Homo sapiens
O95433;B4DUR9;H0YJG7;G3V438;H0YJU2	Homo sapiens
Q29RF7;Q29RF7-3;H0Y9L9;B7Z5S1;Q9NTI5-2;Q9NTI5;Q9NTI5-3	Homo sapiens
O00567;H0YDU4;H0Y653;E9PDI8	Homo sapiens
P12268;H0Y4R1;F5H247;E7ETK5;P20839-2;P20839-4;C9J381;P20839;E7EQS0;P20839-3;C9JV30;C9K0R9	Homo sapiens
Q9UNZ2;Q9UNZ2-5;Q9UNZ2-6;Q9UNZ2-4	Homo sapiens
P13797;B4DGB4	Homo sapiens
P18124;A8MUD9	Homo sapiens
Q92797	Homo sapiens
Q53GS9;B9A018;B8ZZD1;G5E9H0;F8WC91	Homo sapiens
Q06203	Homo sapiens
E7ETZ3;Q9BVC6	Homo sapiens
Q9GZN8;Q9GZN8-2;H7BYU9;E9PAL2	Homo sapiens
P49321;P49321-2;P49321-3;Q5T624;B4DS57;F5H3J2;E9PI86;E9PRH9;H0YF33	Homo sapiens
Q9Y2S7	Homo sapiens
P27816;E7EVA0;P27816-2;B9ZVR1;P27816-4;E9PGM5	Homo sapiens
Q92499;B4DME8	Homo sapiens
P0AC59	Escherichia coli (strain K12)
P13024	Escherichia coli (strain K12)
E9PRI4;E9PGT3;Q15418;Q15418-2;Q15418-3;Q5SVM6;E9PGT4	Homo sapiens
Q9Y316-2;Q9Y316;F8WCZ0;B5MCI6	Homo sapiens
O60566;O60566-3;O60566-2;C9JLW5	Homo sapiens
P78371;P78371-2;F5GWF6	Homo sapiens
O43663	Homo sapiens
Q04637-3;E7EUU4;Q04637;E9PFM1;Q04637-6;G5E9S1;C9JF13;C9K073;C9J2Z7;Q04637-5;E7EX73;C9J6B6;Q04637-4;E9PGM1	Homo sapiens
H0Y2Q1;Q96FX7	Homo sapiens
O14672;A8MY20	Homo sapiens
B4DMJ2;E7EWF1;P36578;H3BM89;H3BTP7	Homo sapiens
Q9UN37;I3L4J1;O75351	Homo sapiens
Q9H6E5;F5H0R1;C9JBX0;H3BRB1	Homo sapiens
P0AEX5	Escherichia coli (strain K12)
Q04637-3;E7EUU4;Q04637;E9PFM1;Q04637-6;G5E9S1;Q04637-5;E7EX73;Q04637-4;E9PGM1	Homo sapiens
Q9BQG0;Q9BQG0-2;I3L1L3;I3L2H8	Homo sapiens
Q9HD26-2;Q9HD26;F5H1Y4	Homo sapiens
B4DQJ8;P52209;F5H7U0;F5H0L3	Homo sapiens
P0ADV7	Escherichia coli (strain K12)
P24752;G3XAB4;H0YEL7;E9PRQ6	Homo sapiens
Q9P016;Q9P016-2	Homo sapiens
P0ACA7	Escherichia coli (strain K12)
C9J384;E9PHS3;Q9BQ75	Homo sapiens
F8VVQ3;F8VZA2;Q6P1Q0;B3KXK7;F8VS60;F8W0R0;Q6P1Q0-4;F8VP71;B7Z7E4;Q6P1Q0-2;H0YHF4;F8VPY5	Homo sapiens
P62701;A6NH36	Homo sapiens
Q13177;H7C1X3	Homo sapiens
P0ACF8	Escherichia coli (strain K12)
Q9BQE3;F5H5D3;E9PGK3;F8VVB9;F8VQQ4;F8VRZ4;F8VS66;F8VX09;F8VWV9;C9K0S6;P68363;CON__ENSEMBL:ENSBTAP00000016242;A8MUB1;P68366;C9JEV8;C9JQ00;C9JJQ8;C9JDL2;A6NHL2-2;A6NHL2	Homo sapiens
P0ADQ2	Escherichia coli (strain K12)
F5H886;Q9UDY2-3;Q9UDY2;F5H301;Q9UDY2-4;Q9UDY2-2;Q9UDY2-5	Homo sapiens
Q96A72;F5H6N1;F5H6P7;F5H3U9	Homo sapiens
P0AA16	Escherichia coli (strain K12)
P08195-3;F5GZS6;P08195;P08195-4;P08195-2;B4E2Z3	Homo sapiens
O75362	Homo sapiens
Q13435;E9PPJ0;H0YEX5	Homo sapiens
A0AVT1;A0AVT1-2	Homo sapiens
Q5VW30;Q5VW26;O00712;H7BYE8;Q5VW27;Q5VW29;O00712-2;Q5W0Y9;F5H0R0;B1AKN5;Q12857;B1AKN8;F8W8W3;B1AKN6;Q12857-2;B1AKN7	Homo sapiens
P13693;Q8TBK7;H0YCX0	Homo sapiens
Q02880-2;Q02880;B4DLV2	Homo sapiens
Q9UK76;B8ZZT7;Q9UK76-3;Q9UK76-2;F5GY98	Homo sapiens
B0S8I6;Q14320	Homo sapiens
P51116;A8MQB8;Q06787-8;G3V0J0;Q06787-2;G8JL90;Q06787-6;Q06787-4;Q06787-5;Q06787-7;Q06787-3;Q06787;Q8IXW7;G8JLE9	Homo sapiens
E7EU85;E9PFF5;P51114-3;P51114-2;B4DXZ6;P51114	Homo sapiens
P49756;P49756-2;P49756-3;H0YE46	Homo sapiens
Q13332-5;F8W800;H0YG31;Q13332-4;Q13332-2;F8W9T5;Q13332;F8W846;E9PDC5;Q13332-7;F5H2T4;Q13332-6;Q13332-3;G8JL96	Homo sapiens
P23528;G3V1A4;E9PK25;E9PP50;E9PQB7;Q9Y281;G3V5P4	Homo sapiens
P34932;F5H3R0	Homo sapiens
P13639;F5H370	Homo sapiens
Q9BQE3;F5H5D3;P68363;A8MUB1;P68366	Homo sapiens
P78417;Q5TA02;D3DRA3;F5H7H0;Q5TA01	Homo sapiens
Q92609;C9JP52	Homo sapiens
P08238;Q58FF7;P07900;P07900-2;Q86U12;G3V2J8;Q5T9W8;Q58FF6	Homo sapiens
P04844-2;P04844;Q5JYR4;F2Z3K5	Homo sapiens
P09651-2;F8VXY0;F8VSB5;F8VRQ1;F8W6I7;F8W1S7;P09651;P09651-3;F8VZ49;Q32P51;F8VYN5;F8W646	Homo sapiens
