estimate	se	df	Tval	pval	qval	signif	Protein.IDs
-0.475600775998243	0.0428651398226855	5973.84456889224	-11.0952811064095	2.49745878221251e-28	1.42480023525224e-24	TRUE	P78527
0.679827129644997	0.0621068363952915	2894.25167580956	10.9460917525745	2.36656814180927e-27	6.75063562451095e-24	TRUE	P0A8V2
0.85010049776948	0.0804354428281515	1779.15785986527	10.5687302497445	2.30830637539844e-25	4.38962929054936e-22	TRUE	P25516
0.706773001264374	0.0734304837716477	2578.33204277829	9.62506257567741	1.43766277993519e-21	2.05046653988257e-18	TRUE	P63284
1.03969113169281	0.10735026213554	596.541846094028	9.68503579786423	1.06062879687465e-20	1.21017745723397e-17	TRUE	P37095
0.778278408223563	0.0851215797089556	1805.6958361726	9.14313868333532	1.58629558251349e-19	1.50830271637324e-16	TRUE	P13029
0.889151569768881	0.0979580712108215	900.561620954947	9.07685868840031	6.89946550478534e-19	5.62306438640005e-16	TRUE	P77804
0.853491077090164	0.0949486254642455	684.60000122148	8.98897770154198	2.40873881618813e-18	1.71773186829416e-15	TRUE	P23721
-0.69744990115776	0.0817553300817816	2389.72084106724	-8.53094104641356	2.53622664016435e-17	1.40909189028773e-14	TRUE	P09874
1.36922923498733	0.149085736697469	227.337501934072	9.18417325036148	2.654760148807e-17	1.40909189028773e-14	TRUE	P37666
0.792043318809613	0.0921977245761	1172.33630940945	8.59070353906469	2.71691687873182e-17	1.40909189028773e-14	TRUE	P00957
1.38377921892228	0.155544336242224	272.496478096575	8.89636519305578	8.20988545668916e-17	3.90311637753431e-14	TRUE	P45464
0.834381988725789	0.0990769641293841	1011.84070211357	8.42155385015808	1.26000072012109e-16	5.52946469868526e-14	TRUE	P0A705
0.759940937077685	0.0913521005079826	1326.41974952777	8.31881185929906	2.18024244692362e-16	8.88448797121374e-14	TRUE	P07813
0.582293367610022	0.0718292923586787	2122.26887985067	8.10662820820157	8.69827443394729e-16	3.30824370971128e-13	TRUE	P0A9Q7
0.767637028229884	0.0952364684127712	1272.1886695716	8.06032648021778	1.73977215777497e-15	6.20337510006636e-13	TRUE	P0AFG3
0.648016096271368	0.0809973466571814	1385.97526374902	8.00046079304393	2.59650227412244e-15	8.71355616109913e-13	TRUE	P0ABB0
1.04787043280438	0.128799261256698	460.261169090097	8.13568666916473	3.84867816540891e-15	1.21981716298099e-12	TRUE	P0ADE8
0.924412699319337	0.116371561125718	686.928867544278	7.94363064632845	8.0398292747032e-15	2.41406452695694e-12	TRUE	P0AC38
0.532607010649731	0.0682628992633666	2548.74193635102	7.80229108926166	8.79708760145254e-15	2.50936923831434e-12	TRUE	P0A8T7
0.755666464172269	0.0964562410908061	1242.30244485002	7.83429310147871	1.0060861565504e-14	2.73320072529525e-12	TRUE	P00350
0.832091925088231	0.105240014250952	633.992600277643	7.90661167247704	1.17751970983599e-14	2.83286154883914e-12	TRUE	P39180
0.810885131456374	0.103767481780637	1180.20401853225	7.81444357655873	1.21484685424049e-14	2.83286154883914e-12	TRUE	P08839
0.864904378651246	0.11052414260923	1039.58694616988	7.82547919606313	1.23930692049711e-14	2.83286154883914e-12	TRUE	P00961
0.823016177690701	0.104745043304471	813.414240586171	7.85732815345132	1.24139419318104e-14	2.83286154883914e-12	TRUE	P67910
0.7949031734901	0.102494355884677	1736.21956942111	7.75557996953993	1.48826591699619e-14	3.26559886787049e-12	TRUE	P08997
0.767858618250411	0.0982843544212928	903.308876490875	7.81262310539284	1.5521948599639e-14	3.2797302504052e-12	TRUE	P16659
0.789495763203702	0.101452441904445	1106.71333240504	7.78192962518638	1.63122678197027e-14	3.32362456826443e-12	TRUE	P27298
1.11074578352302	0.140468852004631	427.849358039143	7.90741696590784	2.25922360402175e-14	4.44443815894623e-12	TRUE	P0A940
-0.686847022720388	0.0891797721787201	1009.43757734011	-7.70182526754965	3.19233258756172e-14	6.07075247067988e-12	TRUE	Q9Y5B9
0.784847343514971	0.102844556494677	866.242216595077	7.63139411812809	6.12212167254505e-14	1.12666787554418e-11	TRUE	P25526
0.69693931418282	0.0921127329159931	1249.86603746745	7.56615607983784	7.42582381783054e-14	1.3238851525226e-11	TRUE	P21599
1.26860435959525	0.15130732506682	120.452333686489	8.38428912172629	1.11580228371755e-13	1.92898546321474e-11	TRUE	P0AF03
0.743893695512785	0.098317110543581	689.306342955463	7.56626889663361	1.23293267309048e-13	2.06878849999446e-11	TRUE	P00805
0.879258674056688	0.116984129302904	922.252657564042	7.51605093183234	1.33517024163496e-13	2.17632749386498e-11	TRUE	P00864
0.694455699148944	0.0936724712760515	1803.19591256525	7.41365835328922	1.88002301918412e-13	2.97931425679038e-11	TRUE	P06959
0.664275421280266	0.0904322144216002	1631.32927486239	7.34556181698012	3.22212053763074e-13	4.96816153167118e-11	TRUE	P0AEX9
0.676003982933454	0.0922742938914733	1540.62000875702	7.32602715690812	3.80776562879058e-13	5.71665866111849e-11	TRUE	P0ABB4
0.621611839126941	0.0851696606786647	1675.75834377865	7.29851257095189	4.47322308953876e-13	6.54352249379964e-11	TRUE	P36683
-0.780477556634257	0.105789187720338	642.046616830947	-7.37766848817777	4.99972736803089e-13	6.96614454720876e-11	TRUE	Q15084
-1.23199898076163	0.165551099872301	454.760182480627	-7.44180486696821	5.00634402165748e-13	6.96614454720876e-11	TRUE	P19338
1.31748243487801	0.173025633158834	235.79413596575	7.61437719270524	6.36487509599082e-13	8.58788111442975e-11	TRUE	P0AB52
0.926194437705385	0.125509965743297	511.511936969357	7.37944937057596	6.47289899948255e-13	8.58788111442975e-11	TRUE	P60906
