protein	taxon	PD7511.GDTHP1.A_C2	PD7512.GDTHP1.A_C1	PD7513.GDTHP1.A_C2	PD7508.GDTHP1.A_C1	PD7509.GDTHP1.A_C2	PD7510.GDTHP1.A_C1
P26038	NA	16.8094845819148	16.5219379070491	16.6127625860097	16.0034754912589	16.765225833546	17.4713906906476
Q92522	NA	17.2718952964263	17.7304072470026	17.4595902675346	17.2144925203853	17.4443534544681	17.5190730514035
P04083	NA	15.7063557463799	14.8403515000983	15.8855858877067	15.3533053888912	15.4410119910393	16.380619860112
B4DUR8, P49368	NA	17.3843319735068	17.7830570885743	17.5522062041875	19.0593552673691	18.1781322660491	17.1727667349256
P49189	NA	15.8799943744144	15.9386882284531	15.955393764979	15.8865211434426	16.2319433711458	15.9099679095842
P35579	NA	17.8187705830774	17.607588455778	18.066983764572	17.0559696214107	17.9567643798807	18.068094906338
P05091	NA	16.3808085366815	15.8973324331482	16.0610017799703	15.9323172992014	16.0684714722292	15.5453970968477
P62995	NA	16.5028470962715	17.0725198660759	17.2163262527656	15.5916749238219	16.4944413823566	16.5794224569891
B7Z9I1, P11310, Q5T4U5	NA	16.5660810256822	16.8641959434688	16.6707578555369	16.8137086563754	16.9329389952114	16.7246899794076
P00387	NA	15.0815643876275	15.3851687855916	15.0553986589166	16.5478208148666	16.1533685917023	15.305135990115
P10809	NA	18.3148234375312	18.029917355647	17.8989918172721	18.5486339509806	15.1982543766022	18.2281788977279
H3BPE7, P35637	NA	17.1142202647503	16.3503162344336	16.8279637122284	17.2024462644587	17.7853650617471	17.1024003674581
P30086	NA	17.6939202758893	17.6248145554375	17.580427442209	17.9141148910828	17.9956071265284	18.3805678434752
P40227	NA	17.0626198810475	17.1877997618381	17.0064450492878	17.0170000859497	17.0582513670525	17.2088848111137
M0R0F0, M0R0R2, P46782	NA	17.0190139044661	16.5113310989014	17.000114523931	17.0154667004106	17.1811730988403	17.2123799855962
P78527	NA	15.7173406244597	15.716251436455	15.3106861224497	15.85108651826	15.8228153800419	16.2067598583844
P30084	NA	15.1027928088107	15.2879267657956	15.3705350112812	15.1272742220161	15.4146882513065	15.7021524659416
P26038	NA	19.332548743845	19.3225791286728	18.9751851484098	19.8939463961127	19.5907992735412	19.5265696299616
Q96PK6	NA	15.4406350564521	15.9064830710501	15.9626157133711	15.8314840383119	15.9324011590436	16.0999380898275
Q96PK6	NA	15.4776683267598	15.8298516914099	16.1719185223987	15.4495804614708	15.6524595859498	14.9391506306103
P13639	NA	17.1237697834379	17.6529858109554	17.9615678464908	17.1538517468608	17.7735210354528	18.4336415782015
Q9Y490	NA	16.4006789838583	16.5909846517797	16.4566872061441	16.5653240435672	16.6918788345109	16.5262592253437
P49588	NA	16.2933562403307	16.4562351265914	16.2554322270293	17.2088212991822	16.7191187761771	16.3120330328231
P30084	NA	15.2999561861506	15.4327510892701	15.7594373719992	15.5077754993208	15.4437085540364	15.8269559355101
P10606	NA	16.3814171761482	15.5881965134228	16.7256835618125	16.2404563260952	16.3140360190339	16.4188693137646
O43707	NA	16.3789524913781	16.1991318044009	16.0355224998779	15.9122817090798	15.8656487784233	16.182889050001
P35579	NA	16.576568204668	16.6606866105601	16.7713350071673	17.5522191115521	17.2345928447286	16.8648330932094
P09874	NA	16.1087688201253	15.9974959322354	14.8140098214707	16.3181016864976	16.060581305792	16.1927130248328
Q9Y617	NA	15.8948439408505	16.1126798982323	15.4142653203225	16.1764061550955	16.129256924338	16.3204724114155
P53621	NA	16.3423946857678	16.5238291900531	16.0056569372547	16.0631113033689	16.1298748741226	16.1892741436106
Q9BT09	NA	17.8419264795481	17.9593347271077	17.922524541244	17.8171465101194	17.4777222325879	17.7881443599317
Q9Y490	NA	15.7319003818446	15.5048893176904	15.5849357092109	15.4284934082301	15.771907646052	15.8501166358312
Q96PK6	NA	15.3118239184721	16.1791223928489	16.0917286194467	16.361988055719	15.9123207008083	15.860521264233
Q92835	NA	16.1098519626214	15.7841976568702	16.32732268755	16.2590024031977	16.2955164628627	15.9578244413449
E9PQD7, H0YEN5, P15880	NA	16.7792156474465	16.9207078038777	16.5537245154387	17.3120574715289	17.3198620806758	17.2238767200369
H0YGX7, P52566	NA	18.5647713075693	18.4335949678698	18.9337185259927	19.4497770993008	18.8119809089893	18.7134878580979
H0YLE8, P46940	NA	16.452352309388	16.3783994337533	16.1142070541631	16.3628444743523	16.210826992782	16.2963115302157
P16401	NA	20.9141570683716	21.1922496178105	20.6685535283604	21.5361636573597	21.3006582160559	20.8377597299673
Q96AG4	NA	16.2539721225431	16.3649870954524	16.3983447433269	16.1889697186973	16.7236263763011	16.0675295382222
H0YDS9, P49321, Q5T624	NA	15.685831295327	15.9278810075218	15.8575273799792	16.5541357196243	16.7522686485113	16.9110582410589
P78527	NA	16.849347832535	16.3538401407285	14.9466482911422	16.7261909939387	16.6925263958272	17.1270204217151
Q9Y490	NA	16.9737765325729	16.9309211375117	17.0289282284952	16.9740119234887	17.1141477355007	18.1135141788948
B4DUR8, P49368	NA	18.298785101442	18.2531883193333	18.4092888810771	18.1263398409472	18.249971227955	18.471411694761
Q9Y490	NA	17.1612883798309	17.3740102671564	17.0590994028127	16.9112970121178	17.0444920388784	17.3610971039076
A0A1W2PQM2, F5H5D3, Q9BQE3	NA	15.2459574887686	15.5008037987424	14.7937882337572	16.2332139298866	16.3273157232631	15.710819401782
P50990	NA	17.0849146074698	16.9570503457423	16.8340195250605	17.2963224218934	17.4608916316375	17.2919106300718
P62906	NA	15.4540935017278	17.3026816351686	15.8682062436028	17.2819150523176	16.0072218091001	18.0903649563596
Q02878	NA	17.5580378151756	17.2408613867751	18.0073922740467	18.2290135730258	17.913878093811	18.1238233219863
P05023	NA	15.5903173673832	15.950437768015	15.4098375883273	15.9925277546258	16.1729223696468	16.3997164906816
P53396	NA	15.8160885094664	15.4909529182707	15.8619779312965	16.755628867909	16.248086776335	15.8015532203452
Q12906	NA	15.8899227279887	16.7115185087833	16.3914843173399	17.1478307415138	17.2056848367351	16.5102664816127
A0A1W2PQM2, F5H5D3, Q9BQE3	NA	17.1883915458908	16.8689884377	17.0553650167788	17.3188815695044	17.1881194608554	17.4897686360243
P13639	NA	19.4610020800682	19.3347629237239	19.432066802501	19.987586065604	19.6154960203478	19.7580560380472
P52907	NA	16.2971455582416	16.8814031516838	17.1503024032166	15.5446988710136	16.4550998489599	17.3068839634319
P13796	NA	17.9376024716169	18.174431123569	18.4949554064829	19.4468707320082	19.0680332405321	17.6491176087736
P13796	NA	19.6543632765784	18.7759803605233	19.3611065506236	17.4235701933324	19.6738938165303	19.4471567044297
Q9Y617	NA	15.1447231596714	15.7759656268955	15.237963724615	15.1313404077146	15.8570418954814	15.4526951147329
P04083	NA	14.9097805668792	15.5922558053097	15.1604448152896	15.9021811236675	15.1601303696926	15.2555162692589
B4DNK4, P14618	NA	18.6194430790261	18.4933673293413	18.1760129538629	18.3814380405683	17.9968581280602	17.7531892168624
P10809	NA	17.9133258468264	17.8707194377344	18.1390177170933	18.1250626505202	18.309569052695	18.0980185106193
P10809	NA	18.0916698494407	17.775317107656	18.1505027517141	17.0086098527596	17.8595958612545	18.2420430898112
P13639	NA	17.220873753016	17.3791707211934	17.2403156358209	17.2171387432129	17.6185851224061	17.5708493687369
P27824	NA	18.1852028188965	17.7985924822011	17.7259699194489	17.8183061344391	18.5765965783419	17.9783766060393
A0A087WUQ6, P07203	NA	16.3179228078025	15.861426455881	16.0634326516298	15.4142833022777	16.1162419411646	16.3594196350938
P17858	NA	14.0003245743064	14.2472866112183	14.3057739741376	14.9929075408351	15.4977610771989	14.7102312030146
P31949	NA	17.9252855622273	18.4478596250203	18.4732613862111	18.5391785188186	18.5933937193637	18.3019335393156
P10809	NA	18.505792885938	18.2741368435008	17.8220205192716	17.7946452954353	18.2870951491606	18.5939870231655
P08238	NA	16.5222790966433	17.2388479321847	16.6894001998234	16.6545845458096	17.6528315307371	18.19381595243
P07900	NA	16.5943999949412	16.2311152859747	16.6913791289061	16.137524614873	16.7965469218312	16.7418164953733
P78527	NA	16.3291590429179	16.1970464491374	15.8761912082851	15.6313479452395	15.9318193211731	16.5853076508344
A0A0A0MSK5, H0Y4R4, J3KN66, Q5JTV8	NA	15.2019711918242	15.7660652970764	15.6491215098138	15.4911670109518	15.6616435128427	16.3020457265686
P13639	NA	17.2170101793961	17.8431822169206	17.2222553398914	17.4531848498772	17.2078802709655	17.5967657658415
C9JJK5, H0Y2Y8, Q15942	NA	15.8557550855372	15.7074678969121	15.4879765643721	15.7448620313793	15.7196060817399	16.19645842471
M0QZC5, P62280	NA	17.2478267343293	17.3348128728433	16.9889097442609	16.7685027151317	16.997184005768	17.2003973530492
P53621	NA	14.505401565838	15.2445957049883	14.7870948841026	15.7343572006971	15.3531144040272	15.1205601218129
H0YN26, P39687	NA	17.1922492458105	16.1033867645867	16.1948241061514	16.5522017501817	17.2619995315692	17.4799983646444
H3BPE7, P35637	NA	17.5688412414585	17.7931642759015	17.2381078292031	17.49853806633	17.6387651300139	17.5684312287567
Q99832	NA	16.8257976151674	16.9672399753251	16.713191301587	16.9129973071025	17.0768543368936	17.0793414803688
O15143	NA	16.9556553160846	17.0214448631632	16.8747803541743	16.9533396779654	16.6890882256797	17.0092628527193
K7EJ44, P07737	NA	18.7618473006655	18.7581859258134	18.4840572255515	16.3544779369689	17.8246731587019	19.241088146169
A0A087X090, P14324	NA	16.3266190452066	16.7246261560201	15.6103457381555	15.9136937535127	16.4756979672116	16.027161962562
P30050	NA	17.5195854246119	17.5241295204821	17.3455184559062	17.4056289752913	17.976930513389	17.8834965103034
Q9P0L0	NA	16.0799011726534	15.5951576283706	15.6843169823423	15.7483126007143	16.0803386020288	15.6907118806184
Q01518	NA	20.4663405384414	20.4193953410428	20.4258757070666	20.8630275947077	20.36058480963	20.4536642639839
A0A087WUK2, O14979	NA	15.260137166728	15.8203852644272	15.5939202185002	14.947842781987	15.6236242377213	16.1456694166921
P31146	NA	19.4415497037218	19.2512153274239	19.2543864274601	19.4774058557144	19.6942872490147	19.4774966809221
P11021	NA	19.412417569856	19.3452035190631	19.4363256692983	18.9793200623108	19.3726498687015	19.6051895235516
P18669	NA	16.6610727177169	16.9133423988095	15.0507781853251	15.4273620922443	17.1085767025788	16.1567337248883
P06733	NA	18.755997039837	19.0355010383724	18.5720886803095	20.3269636333576	19.7768976519966	18.6428467848556
P06733	NA	20.8998729914809	20.2667611530963	20.3799502511309	20.4500047557154	17.6892570818473	20.6556017632505
P62805	NA	21.9026793955543	21.6273777549135	22.0440328048484	22.2563594165816	22.1369634451202	21.4272980648926
P62805	NA	17.5097058170985	17.1825857230532	16.752261290086	16.6875986420444	15.3085901392073	17.4223102152425
Q9Y3Z3	NA	15.8438141645537	16.011353277673	15.4080755528389	14.6576589043314	15.0192458786841	15.4246970030207
P00558	NA	18.2344575514591	17.8177726577974	18.1873122742277	17.2640877147986	18.7430209990214	18.5082718323026
P37802, X6RJP6	NA	19.2274837151355	19.622553333617	19.3258575941613	18.8142140030289	19.6613227291673	19.6321160317785
P37802, X6RJP6	NA	17.3731076107386	17.1340955476553	17.418437018594	15.9557001314229	17.0415459746017	17.1205344218514
Q14019	NA	15.3983852943155	14.8229570687918	15.009111519285	16.8601280621911	16.2972941877711	15.1300186668734
Q9Y696	NA	15.8229959220324	15.7893682219529	15.8643152389447	16.0203851381825	15.9955983014968	16.1130170568379
P06748	NA	20.1617928167762	19.826282339869	20.0948808239346	20.3839494273624	20.4506375532476	20.3400808845499
P05141	NA	18.8227747571831	18.6037138642881	18.7790939969226	18.6452238503788	19.0980473825855	18.7182062779512
Q04760	NA	18.9996513559324	19.8214003413713	19.1161991029815	20.0483215301554	19.6228816508505	19.2956083983014
P35579	NA	16.3206133810984	16.2867039842645	16.644975705113	14.1056173477846	15.8753651604463	17.278313195992
P30041	NA	18.8762163676984	18.9632321083584	19.0292199012304	18.8847418238443	19.4010868906656	19.0260184196803
P09382	NA	19.1569563219251	18.1909735579832	18.9620385338834	19.3254228564168	19.0710246657221	18.6458576950073
P40227	NA	18.3049510503382	18.1289637952832	18.5957604805177	18.3273502987748	15.7794852351942	18.7029627539574
P04792	NA	15.9512055614673	15.9889477930499	16.0488231769067	18.375646997438	16.9647173794578	16.1002675613747
J3KTL2, Q07955	NA	15.9773563047884	16.4003398458349	16.5313199884797	16.5130780412882	16.4036299524073	16.1601117769094
P31949	NA	17.8102127680071	17.738923188098	17.750465579479	18.6533053147034	17.3812524907279	17.8166011040069
H0Y3Z3, H7BZ94, P07237	NA	16.4540104009073	16.3337082879677	14.7897275422104	18.1065099179102	14.6763148814851	16.8924518909196
O75475	NA	14.2386394694648	14.2203037498146	14.5659463443986	15.0723404570711	14.9761272179057	15.515539543963
G5E972, H0YJH7, P42167	NA	16.1287727973769	15.6030069536943	15.7447272246807	15.0475974771544	15.3729950239595	16.0823168504094
P30041	NA	16.5657237519166	16.0587238739706	16.3728185565178	17.1802132889879	17.5263201367228	16.1278158835998
E5RHW4, O94905	NA	16.2608938208622	16.5806224559447	16.4558353695226	17.2038076007646	16.6470125682993	16.271444501501
O75844	NA	15.9613759399663	16.5227370390296	15.4037222013669	17.4194140946498	16.7555575037503	15.7419246550218
B0QZ18, F2Z2V0, H0Y524, Q99829	NA	15.4326727707566	15.8889276032197	15.0473310896787	16.0803776853629	15.9867788229453	15.7202221556013
B0QZ18, F2Z2V0, H0Y524, Q99829	NA	16.0183880701287	16.1238853600427	15.74032513204	15.6027657003854	16.1983050047147	16.2111634035884
Q9Y3Z3	NA	17.6654051258794	17.6169419792819	17.1834687750138	17.2247059397578	17.6984728777596	17.0767138813326
A0A087X0X3, P52272	NA	15.5259875464465	15.9074124954297	15.7281298375427	16.906535067379	16.6313820756098	16.9507314118715
P62851	NA	17.9124115142791	17.7730093935222	17.9604648075641	17.3832924196055	17.8331484539992	17.681369131293
Q9BVK6	NA	15.8749358105801	16.4752314077733	16.2026862619875	16.0417300093237	16.2968140814858	16.7203572437655
P23284	NA	18.7090683074611	17.8481007671484	18.503819157939	18.7744514445182	19.3335750380188	18.9205209245986
Q9BS26	NA	17.0331767020854	17.1166532511537	17.2217254695784	17.0615546591896	16.978862225015	16.9409487914139
P48735	NA	17.1831609746801	17.5763280016938	17.3264651172059	17.3081177388958	17.7223343719742	16.7950626027759
Q9Y490	NA	15.9453622591103	15.7097612719776	15.8080328619447	15.8415373919546	15.7530245392506	16.1032492226378
P35579	NA	16.3479833827761	16.4625090215494	16.696578006982	16.6884731264917	17.0816773380019	16.5715396197319
P51858	NA	17.0201474967652	16.9438835371331	17.2918506679333	16.46015485662	16.8452903457539	17.2681797719124
Q9NSD9	NA	14.8097830410702	14.8009139954235	14.6579614660079	15.4826586275393	15.2233714268627	15.2326946493273
P42677, Q5T4L4	NA	15.8511226767405	14.3116318157788	15.7082211122894	17.3360756702067	16.3186712984995	15.9294789891878
P42677, Q5T4L4	NA	16.5917199308377	16.9049800690315	16.6888268727927	16.2379396546714	16.8379670821251	17.8564686133277
P30101	NA	17.9099928664977	17.757047550686	17.9641087683128	18.0035037950207	18.3180107142111	17.4795510484893
P61160	NA	17.3978813263507	17.2671393234858	17.2311365102985	18.303807570485	18.1083206712094	17.0920040364154
E9PPH5, Q9BTT0	NA	15.5044912860213	15.9913686833335	15.8449729858831	16.5675235179481	16.2607020345658	16.5730911866527
A0A087WUK2, O14979	NA	15.9090970918999	16.3420126623027	16.2934727839703	15.3187090625194	16.0170381716298	16.031437170193
O75844	NA	14.3416844378787	15.1546913176861	14.3487713928231	16.7533280367275	15.3974941035365	14.8114324674948
A0A1W2PQ51, Q92841	NA	16.1696847322209	15.8844858953103	16.5826935684408	16.6991008347713	16.0554108095087	16.6521469767718
P11021	NA	17.2470886319717	17.325917656974	17.8101205625494	18.002112151071	17.8233541037788	17.3108314673593
P62805	NA	22.8602399798098	22.282986683642	23.4245696525581	22.9400100673707	22.9351110449047	23.0618581100091
P62805	NA	21.1904762847735	20.3900161824969	20.9255581369523	19.6865614080734	20.709444953981	21.4815630353147
P07900	NA	17.8590392021497	17.686670042609	17.5744365545957	18.533140926343	18.2608456395865	17.7987775498448
C9J592, P51149	NA	16.6620513813139	16.4975719594158	16.3125511094486	17.3149284300573	17.6834988940382	15.7936042476697
P08621	NA	16.1342239888157	16.4933550891026	16.5777177515174	16.8209736023307	16.9658481905787	16.0454657904562
A0A0R4J2E8, A8MXP9, D6R991, D6REM6, P43243	NA	14.4920141626908	15.3172401883655	15.5731429430798	15.3509424245427	15.2804798078257	15.6094030615463
O15144	NA	13.2388539483117	14.7013002869815	13.6222481922595	17.048255590247	15.9037382974299	14.5736574646236
O15144	NA	15.2182980308056	16.3988660397761	16.1855195794144	18.160564906547	17.92003832811	16.4910329102151
K7EJ44, P07737	NA	20.4264748898933	20.7703554576411	20.7981562401737	15.7775653145492	21.3726819992298	20.4973850989797
P09382	NA	21.6254593759224	20.827720023991	21.0358914080941	21.2817920488356	21.2022007727577	21.2303530525278
A0A140T998, P28062, Q5JNW7, X5D2R7	NA	14.6060898092688	15.0295273211036	14.9164077381334	15.1586227593214	15.1480975995313	14.287041293895
Q8WUM4	NA	15.3151884327402	14.8976413556293	14.847251973921	15.6389936972329	15.7747820185186	14.2437500006452
