	Organism	hpd_2.5	hpd_97.5	mc_error	mean	n_peptides	sd
A0A0U1RR32, A0A0U1RRH7, H0YFX9, P0C0S8, P20671, Q16777, Q6FI13, Q96KK5, Q99878, Q9BTM1		-0.15473623688475407	0.3683267970014668	0.0013371508950854806	0.08330595932443394	2.0	0.13659815582004853
A0A1W2PQM2, F5H5D3, Q9BQE3		-0.5409960786960535	-0.2697110729065546	0.0006465240794300648	-0.39842477827213824	2.0	0.06904217237319049
A0A1W2PQS1, P35998		0.031205697078765526	0.23067187679668177	0.00044362090968736714	0.12617970339475656	2.0	0.05082902984124074
A6NC48, H0Y984, Q10588		-0.3057140557862881	-0.03440365092021991	0.0006596172883754187	-0.170627207393211	2.0	0.06855381287699601
A6QRI9, B8A6G2, P27635, X1WI28		-0.0462293036297472	0.8089223280857536	0.002291078009990296	0.3484405172783306	2.0	0.21893881121975498
A8K7Q2, E9PKE3, E9PN89, P11142		-0.18228371461026982	0.19742407273842077	0.0010658571985759026	0.0005197705553290199	2.0	0.09584601260411284
B0AZS6, B7Z2E6, H0YB80, P63104		-0.9466562240473251	-0.37516639038401123	0.0016318176330190608	-0.6591228027071292	2.0	0.14687327698593264
B0QZ18, F2Z2V0, H0Y524, Q99829		-0.26599154050173723	-0.043847263576587414	0.0005751840817944872	-0.15564287457520515	2.0	0.05656175167221145
B1AHD1, P55769		-0.14619020418173467	0.047580512554803445	0.00047782310455723445	-0.045291717824855665	2.0	0.04963546542996444
B3KQV6, C9J9C1, P30153		-0.15546621891468915	0.19922091445947476	0.0009525464076926371	0.017862588289418037	2.0	0.09027024420148862
B3KQV6, E9PH38, P30153		-0.3776408908647122	0.021146805049522044	0.0011547899944039713	-0.18469026240756115	2.0	0.10183284378190625
B4DLN1, P52815		-0.12714489165960408	0.12673451246246792	0.0006019917318552351	0.0006012176385464486	2.0	0.06532797927641748
B4E3S0, Q9ULV4		-0.09989469285443309	0.17722725634362724	0.0007658565831446057	0.04073709735978334	2.0	0.07125809925104652
C9J3R0, C9JMJ4, C9JQZ4, C9JRH2, C9JW69, P18754		-0.3683223421886126	-0.11098051694408029	0.0006658028869408799	-0.24469557569006414	2.0	0.0653485133421757
C9J592, P51149		-0.4848573129890321	-0.20212898225380593	0.0007523001778135697	-0.33951045025811916	2.0	0.07296114031216933
D6RA24, Q9NZF1		-0.4269102336927131	-0.20779717949428456	0.0005649434100280037	-0.31506303548227715	2.0	0.05666631402345783
E5RHG6, E5RIW3, E5RJD8, O75347		-0.3234013928057837	-0.13677731140769778	0.0004899839616414559	-0.2273598505564024	2.0	0.047916961383075135
E5RHW4, O94905		-0.18594221921813525	0.01737955121816559	0.0005320463939122997	-0.08486099158996363	2.0	0.05190688722060205
E7ER27, P51659		-0.3672037301038855	-0.05519993811680024	0.0008326294320752049	-0.21167390867719332	2.0	0.07958829033832043
E9PAV3, F8VNW4, F8VZJ2, F8W0W4, F8W1N5, H0YHX9, Q13765		-0.12490023162009911	0.0027219896302141944	0.00034823410815290373	-0.059028997418364884	2.0	0.03261836275072621
E9PBF6, P20700		-0.10088105870122877	0.06185917168857746	0.0003947190164045644	-0.02122295619211623	2.0	0.041649547704938325
E9PBS1, P22234		-0.24035256167543007	-0.03747930101193986	0.0005173390846591594	-0.14156747452374321	2.0	0.0519539001164932
E9PPH5, Q9BTT0		-0.30213228012335547	-0.05349995200701385	0.0006524950383515393	-0.17807178900991324	2.0	0.06405415624829693
E9PR30, P62861		-0.18183073373936498	0.03567261380338094	0.0005697148394072373	-0.0714230799041157	2.0	0.05554989420368202
F5GZQ3, P55084		-0.11353538666930252	0.04417269864390483	0.00041467411125599765	-0.03631173648694553	2.0	0.0404212219058214
F8VVM2, Q00325		-0.10201785870305868	0.04495128642648549	0.0003825796654432172	-0.031217804085793104	2.0	0.037497784743608216
F8VZQ9, H0YHG0, P82979		-0.08172703035959872	0.12167588118208661	0.0005780931302682985	0.018639084358785068	2.0	0.05205375408088315
F8W6I7, H0YH80, P09651		-0.5549671000632357	-0.19670774376371636	0.000994799058620424	-0.36547596106944513	2.0	0.09255962840498626
F8W930, Q9Y6M1		-0.29984870995500734	-0.11064273855935491	0.0005426112365209056	-0.20439698954657373	2.0	0.04836695074087915
